 15:06:49.671 [expiration-thread--p3-t1] INFO  o.c.m.g.internal.TransferManagerImpl - BEGIN: Delete Resource [location=RepositoryLocation [maven:remote:central], path=archetype-catalog.xml] (EventMetadata [metadata={}])
 15:06:49.709 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Starting delete of: Resource [location=RepositoryLocation [maven:remote:central], path=archetype-catalog.xml] (EventMetadata [metadata={}])
 15:06:49.715 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Finished delete of: Resource [location=RepositoryLocation [maven:remote:central], path=archetype-catalog.xml]
 15:06:49.735 [expiration-thread--p3-t1] INFO  o.c.m.g.internal.TransferManagerImpl - FINISH: Delete: Resource [location=RepositoryLocation [maven:remote:central], path=archetype-catalog.xml]
 15:06:49.740 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Starting delete of: Resource [location=RepositoryLocation [maven:remote:central], path=archetype-catalog.xml.http-metadata.json] (EventMetadata [metadata={}])
 15:06:49.741 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Finished delete of: Resource [location=RepositoryLocation [maven:remote:central], path=archetype-catalog.xml.http-metadata.json]
 15:06:49.752 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Starting delete of: Resource [location=GroupLocation [maven:group:public], path=archetype-catalog.xml.md5] (EventMetadata [metadata={}])
 15:06:49.754 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Finished delete of: Resource [location=GroupLocation [maven:group:public], path=archetype-catalog.xml.md5]
 15:06:49.756 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Starting delete of: Resource [location=GroupLocation [maven:group:public], path=archetype-catalog.xml.sha256] (EventMetadata [metadata={}])
 15:06:49.756 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Finished delete of: Resource [location=GroupLocation [maven:group:public], path=archetype-catalog.xml.sha256]
 15:06:49.759 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Starting delete of: Resource [location=GroupLocation [maven:group:public], path=archetype-catalog.xml.sha1] (EventMetadata [metadata={}])
 15:06:49.760 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Finished delete of: Resource [location=GroupLocation [maven:group:public], path=archetype-catalog.xml.sha1]
 15:06:49.767 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Starting delete of: Resource [location=GroupLocation [maven:group:public], path=archetype-catalog.xml] (EventMetadata [metadata={}])
 15:06:49.769 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Finished delete of: Resource [location=GroupLocation [maven:group:public], path=archetype-catalog.xml]
 15:06:49.771 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Starting delete of: Resource [location=GroupLocation [maven:group:public], path=archetype-catalog.xml.sha] (EventMetadata [metadata={}])
 15:06:49.771 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Finished delete of: Resource [location=GroupLocation [maven:group:public], path=archetype-catalog.xml.sha]
 15:06:49.773 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Starting delete of: Resource [location=GroupLocation [maven:group:public], path=archetype-catalog.xml.md5] (EventMetadata [metadata={}])
 15:06:49.773 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Finished delete of: Resource [location=GroupLocation [maven:group:public], path=archetype-catalog.xml.md5]
 15:06:49.774 [expiration-thread--p3-t1] INFO  o.c.maven.galley.model.Transfer - Starting delete of: Resource [location=GroupLocation [maven:group:public], path=archetype-catalog.xml.info] (EventMetadata [metadata={}])
